nr, time, date, gen-freq, row, column, size, lower, upper, runtime, log-freq, table, model, cache, cpu, gen, drop, proc, dup, thread0, cpucore-t0, cpumhz-t0, thread1, cpucore-t1, cpumhz-t1, thread2, cpucore-t2, cpumhz-t2, thread3, cpucore-t3, cpumhz-t3, thread4, cpucore-t4, cpumhz-t4, thread5, cpucore-t5, cpumhz-t5, thread6, cpucore-t6, cpumhz-t6, thread7, cpucore-t7, cpumhz-t7, thread8, cpucore-t8, cpumhz-t8, thread9, cpucore-t9, cpumhz-t9, thread10, cpucore-t10, cpumhz-t10, thread11, cpucore-t11, cpumhz-t11, thread12, cpucore-t12, cpumhz-t12, thread13, cpucore-t13, cpumhz-t13, thread14, cpucore-t14, cpumhz-t14, thread15, cpucore-t15, cpumhz-t15, thread16, cpucore-t16, cpumhz-t16, thread17, cpucore-t17, cpumhz-t17, thread18, cpucore-t18, cpumhz-t18, thread19, cpucore-t19, cpumhz-t19, thread20, cpucore-t20, cpumhz-t20, thread21, cpucore-t21, cpumhz-t21, thread22, cpucore-t22, cpumhz-t22, thread23, cpucore-t23, cpumhz-t23, thread24, cpucore-t24, cpumhz-t24, thread25, cpucore-t25, cpumhz-t25, thread26, cpucore-t26, cpumhz-t26, thread27, cpucore-t27, cpumhz-t27, thread28, cpucore-t28, cpumhz-t28, thread29, cpucore-t29, cpumhz-t29, thread30, cpucore-t30, cpumhz-t30, thread31, cpucore-t31, cpumhz-t31, thread32, cpucore-t32, cpumhz-t32, thread33, cpucore-t33, cpumhz-t33, thread34, cpucore-t34, cpumhz-t34, thread35, cpucore-t35, cpumhz-t35, thread36, cpucore-t36, cpumhz-t36, thread37, cpucore-t37, cpumhz-t37, thread38, cpucore-t38, cpumhz-t38, thread39, cpucore-t39, cpumhz-t39, thread40, cpucore-t40, cpumhz-t40, thread41, cpucore-t41, cpumhz-t41, thread42, cpucore-t42, cpumhz-t42, thread43, cpucore-t43, cpumhz-t43, thread44, cpucore-t44, cpumhz-t44, thread45, cpucore-t45, cpumhz-t45, thread46, cpucore-t46, cpumhz-t46, thread47, cpucore-t47, cpumhz-t47, thread48, cpucore-t48, cpumhz-t48, thread49, cpucore-t49, cpumhz-t49
000000, 000000, Sun Apr  3 17:19:39 2022, 1, 5, 5, 25, 11, 89, 1, 1, 8192,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000989, 00000036, 00000000, 007, 2, 2519.980, 007, 3, 2530.946, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:42 2022, 1, 5, 5, 25, 11, 89, 1, 1, 4096,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000985, 00000040, 00000000, 007, 2, 2533.627, 007, 3, 2572.625, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:45 2022, 1, 5, 5, 25, 11, 89, 1, 1, 2048,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001038, 00000982, 00000040, 00000000, 007, 2, 2592.840, 007, 3, 2550.303, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:49 2022, 1, 5, 5, 25, 11, 89, 1, 1, 1024,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000982, 00000043, 00000000, 007, 2, 2531.862, 007, 3, 2572.259, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:52 2022, 1, 5, 5, 25, 11, 89, 1, 1, 512,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001042, 00000986, 00000040, 00000000, 007, 2, 2592.403, 007, 3, 2528.288, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:55 2022, 1, 5, 5, 25, 11, 89, 1, 1, 256,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000981, 00000044, 00000000, 007, 2, 2592.530, 007, 3, 2533.638, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:19:59 2022, 1, 5, 5, 25, 11, 89, 1, 1, 128,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001042, 00000987, 00000039, 00000000, 007, 2, 2592.933, 007, 3, 2535.819, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:20:02 2022, 1, 5, 5, 25, 11, 89, 1, 1, 64,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000980, 00000046, 00000000, 006, 2, 2582.202, 007, 3, 2538.179, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:20:05 2022, 1, 5, 5, 25, 21, 79, 1, 1, 16384,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001041, 00000981, 00000044, 00000000, 007, 2, 2532.345, 007, 3, 2550.583, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
000000, 000000, Sun Apr  3 17:20:09 2022, 1, 5, 5, 25, 21, 79, 1, 1, 8192,  AMD EPYC 7H12 64-Core Processor,  512 KB,  64, 00001042, 00000983, 00000043, 00000000, 007, 2, 2588.625, 007, 3, 2538.526, 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, , 000, 0, 
