runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
0, 343, 000023, 000023, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 8,           Neoverse-N1,             10,               80, -1, 100000, 282051568756024, 5742166016, 9223372036854710272, 00320476, 00279812, 00000870, 00040623, 00039764, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 344, 000013, 000013, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 12,           Neoverse-N1,             10,               80, -1, 100000, 282189716016164, 5740652134, 9223372036854710272, 00316950, 00281745, 00001154, 00060808, 00059676, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 006, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 006, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
0, 345, 000024, 000024, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 12,           Neoverse-N1,             10,               80, -1, 100000, 282305782205448, 5741300940, 9223372036854710272, 00316315, 00332437, 00000943, 00060592, 00059663, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
1, 346, 000011, 000011, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 16,           Neoverse-N1,             10,               80, -1, 100000, 282470976893712, 5744328704, 9223372036854710272, 00318503, 00257425, 00001532, 00060988, 00059480, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 001, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 000, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 006, 16, 31, 007, 17, 33, , , , , , , , , , , , 
0, 347, 000022, 000022, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 16,           Neoverse-N1,             10,               80, -1, 100000, 282631276965636, 5744544972, 9223372036854710272, 00347904, 00267021, 00001300, 00072782, 00071490, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 000, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 004, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 001, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 003, 16, 31, 007, 17, 33, , , , , , , , , , , , 
1, 348, 000011, 000011, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 20,           Neoverse-N1,             10,               80, -1, 100000, 282854491811056, 5744112435, 9223372036854710272, 00365045, 00290055, 00001880, 00074781, 00072958, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 001, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 000, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 000, 16, 31, 007, 17, 33, 007, 18, 35, 007, 19, 37, 000, 20, 39, 007, 21, 41
0, 349, 000022, 000022, 10, 1, 1, 5, 4, 20, 70, 99, 2048, 20,           Neoverse-N1,             10,               80, -1, 100000, 283095915303156, 5743896166, 9223372036854710272, 00355273, 00266227, 00001443, 00088822, 00086681, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 000, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 001, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 000, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 001, 16, 31, 007, 17, 33, 007, 18, 35, 007, 19, 37, 000, 20, 39, 007, 21, 41
1, 350, 000018, 000018, 10, 1, 1, 5, 4, 20, 70, 99, 256, 4,           Neoverse-N1,             10,               80, -1, 100000, 283289926760508, 5741949747, 9223372036854710272, 00322401, 00331760, 00000812, 00020771, 00019963, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 351, 000029, 000029, 10, 1, 1, 5, 4, 20, 70, 99, 256, 4,           Neoverse-N1,             10,               80, -1, 100000, 283335893991280, 5741949747, 9223372036854710272, 00321673, 00331021, 00000883, 00020837, 00019958, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 352, 000013, 000013, 10, 1, 1, 5, 4, 20, 70, 99, 256, 8,           Neoverse-N1,             10,               80, -1, 100000, 283426754297408, 5743031091, 9223372036854710272, 00320422, 00279621, 00001012, 00040709, 00039758, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 006, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 353, 000024, 000024, 10, 1, 1, 5, 4, 20, 70, 99, 256, 8,           Neoverse-N1,             10,               80, -1, 100000, 283507498553560, 5744112435, 9223372036854710272, 00320152, 00307133, 00001174, 00040892, 00039759, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 354, 000013, 000013, 10, 1, 1, 5, 4, 20, 70, 99, 256, 12,           Neoverse-N1,             10,               80, -1, 100000, 283645633362688, 5742598553, 9223372036854710272, 00317673, 00257033, 00000948, 00066622, 00065608, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 006, 11, 21, 007, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
0, 355, 000024, 000024, 10, 1, 1, 5, 4, 20, 70, 99, 256, 12,           Neoverse-N1,             10,               80, -1, 100000, 283761633263920, 5742382284, 9223372036854710272, 00349416, 00256824, 00001206, 00060845, 00059653, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 006, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
1, 356, 000012, 000012, 10, 1, 1, 5, 4, 20, 70, 99, 256, 16,           Neoverse-N1,             10,               80, -1, 100000, 283938654219140, 5742166016, 9223372036854710272, 00317926, 00254672, 00001509, 00063166, 00061681, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 000, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 000, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 001, 16, 31, 007, 17, 33, , , , , , , , , , , , 
0, 357, 000023, 000023, 10, 1, 1, 5, 4, 20, 70, 99, 256, 16,           Neoverse-N1,             10,               80, -1, 100000, 284100668181776, 5743031091, 9223372036854710272, 00348242, 00276471, 00001420, 00065610, 00064197, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 002, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 003, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 001, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 002, 16, 31, 007, 17, 33, , , , , , , , , , , , 
1, 358, 000013, 000013, 10, 1, 1, 5, 4, 20, 70, 99, 256, 20,           Neoverse-N1,             10,               80, -1, 100000, 284365928990880, 5743463628, 9223372036854710272, 00363534, 00288783, 00001932, 00074534, 00072662, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 000, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 000, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 000, 16, 31, 007, 17, 33, 007, 18, 35, 007, 19, 37, 001, 20, 39, 007, 21, 41
0, 359, 000024, 000024, 10, 1, 1, 5, 4, 20, 70, 99, 256, 20,           Neoverse-N1,             10,               80, -1, 100000, 284601147358432, 5744328704, 9223372036854710272, 00348030, 00259521, 00001341, 00088279, 00086048, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 001, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 001, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 000, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 000, 16, 31, 007, 17, 33, 007, 18, 35, 007, 19, 37, 000, 20, 39, 007, 21, 41
