runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
1, 0, 000024, 000024, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 31842199056, 8170291, 10737418240, 00192418, 00186318, 00000042, 00006044, 00006017, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.950, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 1, 000035, 000035, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 52110321321, 8310784, 10737418240, 00190448, 00183706, 00000058, 00006675, 00006629, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2699.999, 007, 5, 2699.952, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 2, 000075, 000075, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 256487657328, 9482240, 10737418240, 00167500, 00155519, 00000097, 00011851, 00011761, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2699.998, 007, 5, 2699.958, 007, 6, 2700.000, 007, 7, 2700.000, 000, 8, 2700.000, 007, 9, 2700.017, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 3, 000086, 000086, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 290044882838, 9811148, 10737418240, 00183885, 00154918, 00000088, 00011825, 00011742, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2699.999, 006, 4, 2699.999, 007, 5, 2699.996, 007, 6, 2700.000, 006, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2700.033, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 4, 000018, 000018, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 358116674960, 9816064, 10737418240, 00139985, 00123832, 00000118, 00015979, 00015888, 00000000, 00000000, 00000000, 007, 2, 2699.998, 007, 3, 2700.000, 004, 4, 2699.999, 007, 5, 2699.962, 007, 6, 2700.000, 007, 7, 2700.000, 000, 8, 2700.000, 007, 9, 2700.037, 007, 10, 2700.000, 007, 11, 2700.000, 007, 12, 2699.999, 006, 13, 2699.977, , , , , , , , , , , , , , , , , , , , , , , , 
0, 5, 000029, 000029, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 397749908023, 9546956, 10737418240, 00095049, 00083679, 00000087, 00011227, 00011164, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.990, 007, 6, 2700.000, 002, 7, 2700.000, 007, 8, 2700.000, 007, 9, 2700.003, 006, 10, 2700.000, 006, 11, 2700.000, 000, 12, 2700.000, 007, 13, 2699.953, , , , , , , , , , , , , , , , , , , , , , , , 
1, 6, 000182, 000182, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 1339926198127, 14962688, 10737418240, 00066528, 00056370, 00000082, 00009972, 00009919, 00000000, 00000000, 00000000, 007, 2, 2700.001, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.997, 007, 6, 2699.999, 007, 7, 2700.000, 005, 8, 2699.999, 007, 9, 2700.000, 007, 10, 2700.000, 007, 11, 2700.001, 007, 12, 2700.001, 007, 13, 2700.001, 007, 14, 2699.999, 007, 15, 2699.999, 000, 16, 2699.999, 007, 17, 2699.923, , , , , , , , , , , , 
0, 7, 000193, 000193, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 1382571256198, 15439462, 10737418240, 00069474, 00058592, 00000079, 00010699, 00010651, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2699.999, 007, 5, 2699.968, 007, 6, 2700.000, 007, 7, 2699.999, 000, 8, 2699.999, 007, 9, 2700.002, 007, 10, 2700.000, 007, 11, 2700.000, 000, 12, 2699.999, 006, 13, 2699.969, 006, 14, 2700.000, 007, 15, 2699.999, 000, 16, 2699.999, 007, 17, 2699.953, , , , , , , , , , , , 
1, 8, 000082, 000082, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 1811349086582, 12891750, 10737418240, 00068970, 00055193, 00000125, 00013487, 00013419, 00000000, 00000000, 00000000, 007, 2, 2699.999, 006, 3, 2700.000, 005, 4, 2699.999, 007, 5, 2700.000, 007, 6, 2699.999, 007, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2699.997, 007, 10, 2699.999, 007, 11, 2700.000, 000, 12, 2699.999, 007, 13, 2699.964, 007, 14, 2699.999, 007, 15, 2699.999, 000, 16, 2700.000, 007, 17, 2699.964, 007, 18, 2700.000, 007, 19, 2699.999, 000, 20, 2699.999, 007, 21, 2699.931
0, 9, 000093, 000093, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 20,  Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz,  39424,  28, 6000000, 100000, 1880008882302, 13570867, 10737418240, 00070680, 00056234, 00000110, 00014163, 00014114, 00000000, 00000000, 00000000, 007, 2, 2700.000, 007, 3, 2700.000, 000, 4, 2700.000, 007, 5, 2699.995, 007, 6, 2700.000, 007, 7, 2700.000, 000, 8, 2699.999, 007, 9, 2700.035, 007, 10, 2700.000, 007, 11, 2700.000, 000, 12, 2700.000, 007, 13, 2699.958, 007, 14, 2700.000, 007, 15, 2699.999, 000, 16, 2700.000, 007, 17, 2699.988, 007, 18, 2699.999, 007, 19, 2699.999, 000, 20, 2700.000, 007, 21, 2699.955
