runsec, runcounter, lognr, logsec, runtime, logfreq, genfreq, row, column, size, lower, upper, table, threads, model, cache, cpu, cpuquota, cpuperiod, cpuusage, memusage, memlimit, gen, drop, proc, dup, duphash, duptable, duprbtree, dupbstree, thread0, cpucore0, cpufreq0, thread1, cpucore1, cpufreq1, thread2, cpucore2, cpufreq2, thread3, cpucore3, cpufreq3, thread4, cpucore4, cpufreq4, thread5, cpucore5, cpufreq5, thread6, cpucore6, cpufreq6, thread7, cpucore7, cpufreq7, thread8, cpucore8, cpufreq8, thread9, cpucore9, cpufreq9, thread10, cpucore10, cpufreq10, thread11, cpucore11, cpufreq11, thread12, cpucore12, cpufreq12, thread13, cpucore13, cpufreq13, thread14, cpucore14, cpufreq14, thread15, cpucore15, cpufreq15, thread16, cpucore16, cpufreq16, thread17, cpucore17, cpufreq17, thread18, cpucore18, cpufreq18, thread19, cpucore19, cpufreq19
1, 0, 000011, 000011, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4, , , , -1, 100000, 175226660996912, 5747789004, 9223372036854710272, 00565729, 00542534, 00001394, 00020955, 00019566, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 1, 000022, 000022, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 4, , , , -1, 100000, 175271342574680, 5748005273, 9223372036854710272, 00515447, 00494324, 00001421, 00020994, 00019564, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 2, 000011, 000011, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8, , , , -1, 100000, 175343641914772, 5742814822, 9223372036854710272, 00561613, 00515255, 00002199, 00041868, 00038992, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 3, 000022, 000022, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 8, , , , -1, 100000, 175421219964192, 5747140198, 9223372036854710272, 00511781, 00563329, 00001718, 00042120, 00039037, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1, 4, 000011, 000011, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12, , , , -1, 100000, 175533048031856, 5739570790, 9223372036854710272, 00506256, 00442903, 00002600, 00062884, 00058551, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
0, 5, 000022, 000022, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 12, , , , -1, 100000, 175644619284976, 5743896166, 9223372036854710272, 00507390, 00444498, 00002639, 00062530, 00058595, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, , , , , , , , , , , , , , , , , , , , , , , , 
1, 6, 000020, 000020, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16, , , , -1, 100000, 175914364358964, 5742166016, 9223372036854710272, 00552255, 00460348, 00003380, 00083011, 00078099, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 006, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 007, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 006, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 007, 16, 31, 007, 17, 33, , , , , , , , , , , , 
0, 7, 000031, 000031, 10, 1, 1, 3, 4, 12, 10, 99, 16384, 16, , , , -1, 100000, 176060492255104, 5746491392, 9223372036854710272, 00655799, 00547216, 00003558, 00083062, 00078340, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, 007, 6, 11, 007, 7, 13, 006, 8, 15, 007, 9, 17, 007, 10, 19, 007, 11, 21, 007, 12, 23, 007, 13, 25, 007, 14, 27, 007, 15, 29, 007, 16, 31, 007, 17, 33, , , , , , , , , , , , 
1, 10, 000012, 000012, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 4, , , , -1, 100000, 176178279092820, 5730703769, 9223372036854710272, 00566588, 00543253, 00001519, 00021074, 00019556, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 006, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
0, 11, 000023, 000023, 10, 1, 1, 3, 4, 12, 10, 99, 2048, 4, , , , -1, 100000, 176222868626576, 5731568844, 9223372036854710272, 00515106, 00493931, 00001465, 00021035, 00019557, 00000000, 00000000, 00000000, 007, 2, 3, 007, 3, 5, 007, 4, 7, 007, 5, 9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
